News title,Comments
Nga cảnh báo Ba Lan,"['Phản đối chiến tranh.', 'Cực lực phản đối chiến tranh!', 'HỮU NGHỊ- HỢP TÁC VÀ PHÁT TRIỂN', 'Phản đối chiến tranh', 'Ủng hộ hoà bình', 'Thế giới cần hòa bình, lương thực, không phải súng đạn.', 'Đồng quan điểm với các bạn. Phản đối chiến tranh. Chiến tranh chỉ đem lại chết chóc. Đau đớn. Cho người dân vô tội.Tàn phá nhà cửa. Hạ tầng cơ sở.. và rất nhiều hệ lụy khác']"
Nga và Ukraine trao đổi tù binh,['Mong chiến tranh sớm chấm dứt!']
Mỹ muốn loại Nga khỏi G20,[]
Quan chức Nga cảnh báo NATO,[]
Nga trục xuất nhà ngoại giao Mỹ,[]
Dừng khai thác đường bay đến Nga,[]
"Nga chặn Facebook, Twitter",[]
Chiến lược ông Biden ứng phó Nga,[]
Trắc nghiệm hiểu biết về nước Nga,[]
Nga cảnh báo làm Mỹ bẽ mặt,"['Ủng hộ toàn vẹn lãnh thổ của các quốc gia và cuộc sống bình yên của người dân trên toàn thế giới ', 'Dừng lại thôi.', 'Thêm dầu vào lửa', 'Càng đổ dầu vào, lửa càng cháy to!', 'Mong hoà bình trên toàn thế giới']"
"Nga có thể nhận Bitcoin khi bán dầu, khí",[]
Thomas Muller ngả mũ trước Barca,"['Qúa tuyệt vời. Mình dự đoán 1-2 mà El Clasico đá như chấp người. chiến thắng 4 sao trên sân Real nếu họ đá nghiêm túc thì sẽ là hàng rổ bóng. Cực kỳ cảm xúc khi BARCA đá biến ảo khủng khiếp như vậy.', 'Hẳn là đang khịa 82 của anh tôi đây mà', 'Như vậy là Barcelona đã đặt Real hàng tàu về đúng chỗ của mình sau màn trình diễn xuất sắc 4-0 ngay trên thánh đại bernabeu !', 'Đúng là Xavi là linh hồn của Barca. Chỉ cần có Xa-In. Barca sẽ có mọi thứ. Linh hồn trở lại, Barca lại quay về thời kì huy hoàng trc đây. Chúc mừng Barca', 'Nước ngoài họ khen nhau cũng thực sự tinh tế và văn minh. Thomas Muller cũng là 1 cầu thủ đặc biệt', 'Mỗi đội bóng đều có lúc thăng lúc trầm. Rất vui vì Barca đã đứng dậy mạnh mẽ.', 'Tuy chuyển giao lực lượng nhưng Barca vẫn có những phút giây ngạo ngễ. Việc lâu dài là phải làm mới hàng thủ, như thế mới đủ lực cạnh tranh danh hiệu', 'real nhường thôi', 'Ơ Muller lại nhắc đến 8-2 à.', 'Lúc Xavi mới về mình cũng chỉ nghĩ và hi vọng với tình hình tài chính khó khăn như thế nữa thì chỉ mong chờ trong 2, 3 năm nữa nhờ vào thế hệ trẻ: Ansufati, Peri, Fank Dẹjong, Ronald Araujo, Megueze (hậu vệ trẻ), Gavi có thêm kinh nghiệm thi đấu là đủ độ cạnh tranh mới trở nên mạnh như trước đc, mới cạnh tranh gianh hiệu đc. Nhưng đến giờ Xavi làm quá tốt, tạo ra tập thể gắn kết và đặc biệt LỐI CHƠI ĐA DẠNG - MANG CÔNG THỨC CHIẾN THẮNG với nhiều cầu thủ ... ', 'Muller khen đểu đấy, khen để ngta nhớ 28 thôi :D', 'Nói vậy thì 8 - 2 lại ùa về ...']"
Ngành năng lượng Nga bắt đầu ngấm đòn trừng phạt,[]
Mỹ áp trừng phạt với hơn 300 nghị sĩ Nga,[]
Ba tuần chiến sự Nga - Ukraine,[]
NATO lục đục vì xung đột Nga - Ukraine,['TG có hoà bình khi không có những thế lực đe dọa lẫn nhau! Chừng nào còn đe dọa nhau chừng đó TG còn xung đột!']
Ấn Độ muốn mua thêm dầu Nga,"['Chỉ có lợi cho Mỹ và Trung Quốc', 'Cánh cửa khép lại bên này thì nhất định sẽ mở ra với bên kia!']"
Nga đổi chiến thuật ở Ukraine,[]
Mỹ trừng phạt Nga,[]
Nga tuyên bố kiểm soát thêm thành phố Ukraine,['Kịch liệt phản đối chiến tranh ở Ukraina.']
Nga rút khỏi Hội đồng châu Âu,['Thật tội cho nhân dân Nga']
Trung Quốc lặng lẽ gom dầu Nga giá rẻ,[]
Nga bị cảnh báo vì xin đăng cai Euro,"['Haha, sao lại phạt nhỉ? Xác định như thế nào là có ý khiêu khích? :D', 'Xin đăng cai không muốn thì không cho đăng cai, quá đơn giản, sao cứ thích làm phức tạp lên ?']"
Đạn pháo 'từ Ukraine rơi xuống lãnh thổ Nga',['Chấm dứt chiến tranh ngay lập tức']
